({{integer 1 10010}}, {{integer 1 10003}}, {{integer 1 233}}, {{float 1000 5000 2}}),
(4174, 7319, 122, 2863.92),
(7466, 4913, 171, 4376.21),
(2487, 455, 144, 1829.56),
(760, 4056, 109, 2883.90),
(9457, 1711, 221, 3268.62),
(6288, 1431, 88, 2921.20),
(6355, 638, 37, 4353.37),
(9459, 9894, 199, 1957.51),
(9627, 2316, 30, 1042.87),
(2113, 1851, 223, 2199.71),
(8655, 1093, 229, 3421.59),
(3062, 9603, 138, 4935.85),
(6460, 4464, 65, 4655.92),
(8205, 262, 147, 2696.70),
(5774, 2741, 61, 2249.18),
(5234, 8596, 153, 2776.88),
(3816, 9367, 102, 3807.41),
(708, 6600, 34, 1192.19),
(2625, 604, 156, 2845.40),
(687, 2848, 100, 2384.61),
(7113, 768, 24, 3989.95),
(9199, 6018, 99, 1044.23),
(958, 1912, 121, 4475.33),
(9346, 4467, 69, 1007.26),
(741, 984, 41, 4639.05),
(5886, 9570, 117, 2091.48),
(6500, 1982, 43, 1438.39),
(4249, 3601, 33, 3341.37),
(2408, 721, 20, 4893.51),
(4458, 9697, 71, 4402.32),
(3971, 2187, 60, 3042.18),
(1275, 4159, 23, 3229.57),
(4870, 4, 66, 2275.83),
(9461, 4187, 207, 2972.55),
(9842, 3308, 88, 2079.93),
(388, 9494, 93, 2102.77),
(5920, 9662, 188, 4908.50),
(7693, 7666, 52, 4647.07),
(7037, 9521, 77, 3026.31),
(5875, 6906, 147, 3996.44),
(8927, 1993, 69, 4725.18),
(4729, 4874, 49, 1869.96),
(3225, 9283, 82, 4940.96),
(4125, 3164, 200, 4699.36),
(2199, 2702, 12, 2124.09),
(2755, 6983, 134, 2074.37),
(8400, 4383, 81, 1316.39),
(3822, 6474, 232, 1394.92),
(8587, 7705, 82, 2759.01),
(716, 2615, 63, 3742.05),
(3682, 3545, 156, 3080.59),
(1271, 4777, 174, 2884.17),
(4447, 6180, 120, 4395.84),
(8603, 4946, 36, 3629.52),
(5774, 8375, 164, 4774.75),
(4379, 3791, 140, 2191.99),
(7739, 2137, 87, 4757.12),
(622, 2847, 110, 4141.82),
(3327, 2834, 209, 4000.21),
(9309, 3578, 183, 2918.04),
(1416, 6153, 157, 1401.52),
(9305, 7254, 200, 2343.40),
(2068, 6960, 6, 4130.42),
(6209, 6108, 92, 1412.84),
(4211, 121, 76, 1826.08),
(8480, 59, 51, 2602.90),
(4969, 2116, 2, 3547.08),
(5131, 10000, 102, 1921.27),
(6301, 4283, 169, 1001.01),
(154, 4419, 78, 4135.42),
(6645, 3241, 187, 1634.59),
(707, 6261, 134, 3322.37),
(5568, 9423, 197, 2847.84),
(3170, 5994, 208, 2897.57),
(5011, 146, 47, 1390.48),
(9846, 2219, 62, 2746.57),
(7869, 5728, 55, 3570.49),
(6545, 4161, 68, 2105.49),
(3612, 8726, 155, 1032.63),
(5256, 9375, 17, 1252.39),
(8586, 504, 122, 2699.08),
(7658, 8803, 126, 1568.63),
(6592, 8138, 92, 2119.27),
(4261, 8067, 201, 2472.97),
(6101, 5076, 215, 4753.24),
(4624, 7759, 193, 3136.94),
(5994, 2467, 127, 1245.59),
(9120, 1520, 200, 1944.00),
(6618, 8632, 212, 1681.98),
(6639, 453, 206, 2652.03),
(629, 9865, 71, 1509.02),
(6360, 8694, 32, 2094.36),
(1764, 2438, 45, 4305.64),
(1791, 4478, 179, 1451.35),
(8080, 8912, 144, 3488.83),
(9590, 2715, 141, 1624.19),
(5549, 7740, 23, 2600.40),
(9216, 793, 8, 1731.99),
(3961, 1897, 201, 3076.15),
(3094, 7264, 124, 1268.08),
(1767, 6961, 127, 3538.69),
(8092, 3280, 169, 4226.56),
(7776, 4909, 3, 2700.47),
(3399, 4444, 97, 3229.54),
(418, 5774, 61, 1603.42),
(675, 6022, 142, 2206.74),
(2936, 9332, 10, 3560.51),
(2924, 1779, 28, 3896.72),
(6337, 5726, 200, 2878.59),
(2466, 3129, 33, 2193.25),
(3818, 3300, 35, 2830.77),
(2837, 6582, 216, 4397.10),
(3315, 4465, 81, 3256.30),
(2973, 9298, 198, 1439.63),
(7129, 4274, 102, 4923.02),
(1177, 3432, 129, 4491.39),
(8453, 4020, 187, 3647.56),
(7096, 2944, 157, 2176.49),
(6892, 7619, 205, 1708.67),
(3639, 2421, 123, 3804.95),
(2080, 710, 178, 4101.31),
(374, 7818, 181, 1408.22),
(8105, 2020, 12, 1520.83),
(3931, 7705, 64, 1523.27),
(4059, 2510, 175, 4174.15),
(3972, 1986, 7, 2114.39),
(4649, 6842, 71, 3270.94),
(4979, 1598, 61, 1616.02),
(6844, 4675, 127, 2445.11),
(2802, 1976, 26, 4011.88),
(9355, 7566, 33, 4811.45),
(4112, 692, 130, 2093.10),
(4652, 1960, 175, 2405.90),
(684, 2209, 138, 3094.37),
(8713, 3790, 181, 1089.86),
(4090, 4962, 90, 1716.88),
(8031, 8930, 83, 3255.79),
(4177, 1109, 106, 3917.43),
(754, 651, 125, 1307.26),
(3553, 7240, 160, 4488.08),
(9978, 4550, 72, 4304.12),
(2491, 12, 140, 1967.39),
(8830, 6619, 104, 3253.44),
(7152, 7761, 18, 1852.70),
(4283, 4844, 151, 3964.69),
(9447, 758, 97, 3130.62),
(7141, 1408, 88, 3984.69),
(1816, 6559, 211, 1381.52),
(162, 9705, 77, 2256.76),
(6441, 3090, 136, 1507.74),
(7074, 9850, 50, 4948.91),
(9204, 8394, 205, 3156.71),
(2734, 2104, 227, 4283.82),
(1998, 1580, 26, 4316.65),
(2948, 4455, 142, 4755.75),
(3141, 9715, 130, 3366.40),
(7812, 3550, 75, 4642.36),
(233, 6769, 147, 1723.49),
(5535, 2600, 230, 2405.19),
(5279, 2186, 208, 4194.90),
(3159, 4857, 78, 2785.27),
(2963, 4776, 209, 2433.81),
(6063, 9483, 89, 3345.33),
(4176, 7151, 205, 4436.59),
(1150, 7493, 9, 4178.16),
(4158, 3563, 75, 4568.02),
(7579, 1051, 47, 1917.35),
(8093, 6974, 3, 1412.23),
(2811, 132, 68, 2928.42),
(1149, 5363, 214, 1296.55),
(3095, 5422, 45, 1476.22),
(4979, 3325, 209, 2900.93),
(1722, 4338, 132, 1448.45),
(7290, 6938, 222, 1376.12),
(2061, 3852, 77, 2806.21),
(8148, 243, 162, 4840.16),
(3712, 1802, 69, 2606.08),
(4587, 6314, 138, 2888.27),
(5727, 870, 85, 1701.59),
(717, 3162, 67, 3851.89),
(8993, 2270, 169, 3898.75),
(8908, 8554, 219, 3087.63),
(8675, 5244, 98, 3160.19),
(440, 4242, 119, 2916.70),
(7700, 8785, 51, 2541.26),
(716, 925, 101, 1738.18),
(7743, 3478, 160, 2277.64),
(1471, 6756, 205, 3549.37),
(3076, 9910, 187, 2202.71),
(6398, 4267, 51, 2956.54),
(1840, 1157, 203, 2625.89),
(4755, 7940, 167, 1549.55),
(763, 7404, 35, 3514.47),
(5206, 8432, 206, 4778.31),
(9450, 1695, 201, 2805.98),
(5570, 758, 206, 3937.72),
(6710, 7559, 211, 3119.29),
(142, 5977, 202, 4274.11),
(7327, 4011, 162, 1035.86),
(7228, 3049, 188, 3157.28),
(9103, 9770, 53, 2178.41),
(500, 4193, 63, 1236.88),
(5249, 3426, 204, 3838.37),
(8809, 6703, 6, 4719.10),
(706, 7922, 65, 3231.99),
(5342, 2257, 205, 1082.44),
(4992, 2720, 15, 4805.80),
(9555, 2025, 35, 3248.24),
(1423, 4047, 127, 2771.21),
(978, 7170, 142, 3786.86),
(9379, 8267, 82, 4662.45),
(9997, 1317, 15, 3703.55),
(2483, 9084, 191, 1829.63),
(5784, 7550, 161, 1081.65),
(3497, 981, 21, 2774.30),
(754, 3974, 202, 3577.98),
(7074, 9836, 195, 4892.09),
(4489, 8530, 24, 4668.74),
(3620, 1394, 46, 2854.88),
(3966, 3011, 228, 3546.56),
(9682, 8930, 142, 2388.39),
(5388, 619, 7, 2359.84),
(3017, 2363, 76, 4334.76),
(8894, 5059, 209, 3243.49),
(1424, 3394, 174, 4318.96),
(7711, 5922, 135, 1751.02),
(3992, 6433, 147, 1791.78),
(5920, 2931, 160, 2479.55),
(5195, 2225, 73, 2262.58),
(3184, 2307, 8, 4651.78),
(1177, 1261, 97, 2611.79),
(5841, 179, 207, 4559.59),
(9504, 2849, 54, 3145.24),
(5992, 4159, 51, 1476.14),
(5521, 9616, 16, 2288.54),
(3595, 5145, 171, 1115.33),
(7260, 7439, 50, 3225.21),
(2943, 4726, 159, 1928.20),
(2221, 1411, 39, 4319.67),
(6127, 4094, 11, 3967.52),
(4210, 7092, 114, 1961.02),
(7124, 9686, 151, 4762.36),
(9415, 6813, 24, 4134.93),
(2947, 4184, 218, 4969.50),
(1413, 2052, 143, 1442.15),
(3583, 8305, 23, 1959.24),
(9041, 4288, 59, 4480.61),
(7910, 1727, 176, 4626.20),
(6673, 5947, 96, 4551.72),
(3802, 4444, 160, 1760.06),
(4947, 1823, 226, 3483.28),
(8540, 2807, 131, 4791.12),
(700, 1072, 35, 2686.07),
(3992, 7883, 37, 4186.89),
(7188, 5732, 156, 1503.81),
(5032, 6124, 124, 1371.09),
(9012, 4369, 29, 1891.52),
(486, 9536, 98, 1021.35),
(6208, 8345, 85, 3437.96),
(8152, 6735, 26, 4597.78),
(7386, 5492, 72, 2605.63),
(8040, 9286, 203, 3983.81),
(1826, 4508, 8, 3821.59),
(2651, 8375, 56, 1098.29),
(2328, 8785, 29, 1710.65),
(6979, 7559, 98, 4469.48),
(8037, 9640, 33, 3498.80),
(441, 8041, 223, 2436.17),
(5878, 3982, 44, 1357.97),
(4691, 8373, 88, 2260.01),
(6464, 1333, 64, 4859.41),
(2947, 7221, 112, 3848.22),
(554, 6287, 79, 3841.96),
(9570, 665, 218, 3062.46),
(3141, 3946, 156, 3475.62),
(3304, 4280, 63, 4914.40),
(8060, 9481, 104, 2499.11),
(9089, 1369, 147, 1771.26),
(6401, 600, 61, 3802.19),
(7872, 7690, 77, 3009.15),
(9690, 9782, 227, 4931.42),
(8460, 9079, 190, 2113.69),
(7806, 3851, 221, 2897.45),
(8783, 589, 163, 2749.59),
(6572, 6416, 50, 1336.39),
(4564, 3186, 125, 2512.40),
(9285, 3322, 118, 3087.03),
(2547, 8041, 6, 2608.40),
(4382, 534, 215, 2134.07),
(315, 8062, 175, 2426.96),
(2183, 6941, 210, 1025.52),
(1656, 2605, 86, 4565.11),
(8786, 3163, 137, 2942.25),
(5609, 5117, 35, 3990.27),
(5227, 3490, 169, 1966.10),
(7460, 442, 219, 4362.24),
(6109, 8616, 151, 1533.29),
(2041, 520, 1, 4429.43),
(5174, 9905, 77, 4111.28),
(7074, 5837, 126, 1057.98),
(1638, 3639, 201, 1016.83),
(5609, 7026, 98, 2310.79),
(4395, 9218, 91, 2688.31),
(1941, 1306, 128, 2902.23),
(6770, 3169, 2, 4734.98),
(7475, 7099, 206, 1761.76),
(3295, 1747, 77, 2505.25),
(6589, 7133, 25, 1714.45),
(5579, 733, 40, 2167.42),
(6605, 1715, 111, 3204.70),
(8483, 5091, 143, 3501.47),
(2167, 6662, 75, 3871.82),
(8798, 9006, 68, 1905.28),
(9092, 6164, 109, 3570.67),
(5754, 9214, 39, 1591.37),
(8097, 5508, 43, 4916.88),
(9853, 3944, 176, 4264.34),
(4384, 2268, 193, 1658.98),
(2747, 4114, 193, 1157.34),
(2153, 8584, 178, 4511.30),
(8056, 3436, 13, 3842.02),
(3648, 388, 213, 2861.59),
(4474, 114, 221, 4730.33),
(2961, 8300, 69, 1872.11),
(6124, 8736, 76, 2320.74),
(366, 2934, 119, 2020.69),
(4805, 5511, 114, 3594.34),
(617, 9823, 178, 4867.54),
(1285, 391, 208, 4525.34),
(7932, 9954, 18, 3422.85),
(9423, 4295, 60, 1664.35),
(649, 7031, 5, 1269.52),
(8086, 5934, 207, 1840.79),
(9022, 4468, 152, 2143.34),
(6869, 5142, 37, 2149.28),
(8814, 3384, 57, 4426.90),
(6077, 3713, 168, 3968.90),
(1919, 8838, 42, 1543.21),
(6340, 4779, 168, 1474.23),
(6047, 9346, 222, 1980.87),
(1455, 2458, 96, 2180.43),
(6977, 6235, 165, 4007.64),
(1173, 2099, 184, 4201.07),
(442, 8563, 213, 2470.17),
(7550, 7458, 37, 1741.75),
(3924, 5413, 2, 3653.84),
(5697, 8076, 95, 2853.07),
(3731, 3478, 170, 2633.15),
(8824, 3483, 103, 4163.49),
(4391, 9367, 106, 4330.61),
(6438, 5541, 146, 3167.71),
(6128, 4343, 229, 3770.29),
(5874, 4164, 134, 4442.68),
(5488, 6483, 66, 1958.75),
(5630, 5368, 155, 2240.69),
(9676, 2497, 222, 2004.92),
(9398, 6033, 190, 2056.98),
(4836, 1024, 103, 1774.10),
(9676, 5776, 216, 3316.77),
(1134, 7047, 84, 3132.82),
(2085, 4945, 9, 1615.04),
(925, 4045, 76, 1814.89),
(3558, 3617, 60, 1814.94),
(4416, 3894, 75, 1368.93),
(7106, 5857, 62, 2942.76),
(6268, 8846, 6, 3260.82),
(2537, 1570, 24, 3084.25),
(3685, 8929, 92, 2262.76),
(9269, 9198, 87, 1232.00),
(9610, 5440, 138, 1039.84),
(1385, 6628, 163, 3942.52),
(4494, 1413, 17, 4371.32),
(6949, 4631, 203, 1976.28),
(4368, 9055, 20, 2822.14),
(9550, 9089, 199, 4224.53),
(5047, 5203, 29, 3413.18),
(9718, 7331, 202, 3850.21),
(9843, 9828, 14, 3908.80),
(5835, 4886, 43, 3996.01),
(5504, 230, 141, 1852.86),
(2693, 8893, 231, 3970.75),
(2241, 8824, 2, 4567.34),
(4745, 7424, 102, 4800.10),
(8996, 1477, 46, 2114.14),
(3041, 2774, 232, 1556.58),
(9292, 2189, 20, 3633.71),
(4951, 4360, 167, 4697.16),
(2575, 2211, 210, 1523.63),
(5420, 2128, 1, 3117.76),
(7657, 5184, 135, 1402.77),
(7989, 4360, 188, 3405.74),
(5607, 868, 80, 2448.12),
(3319, 1927, 132, 4615.45),
(3775, 626, 167, 2972.19),
(4623, 825, 44, 1437.39),
(6664, 400, 54, 1747.01),
(3716, 1133, 4, 2915.38),
(6168, 3146, 151, 2621.59),
(3619, 1630, 136, 2591.49),
(1593, 8088, 203, 2613.25),
(8105, 2668, 63, 3459.69),
(4275, 1646, 164, 3176.13),
(6795, 3889, 171, 4497.78),
(3546, 603, 66, 1006.15),
(7579, 1541, 85, 1857.80),
(2069, 270, 204, 1495.13),
(5875, 4178, 45, 2559.29),
(5885, 332, 9, 3732.87),
(7868, 4294, 227, 3026.26),
(9239, 9232, 186, 4949.13),
(8360, 8219, 97, 3150.55),
(6536, 3600, 143, 2529.03),
(1876, 5459, 138, 3909.21),
(6647, 2917, 210, 2196.63),
(118, 9302, 177, 2156.82),
(3252, 8712, 144, 2631.84),
(1068, 4101, 11, 1732.85),
(8459, 3381, 6, 1356.63),
(2310, 8509, 133, 2202.47),
(7850, 9477, 184, 4847.68),
(9481, 9484, 149, 2624.57),
(4888, 9938, 173, 3722.72),
(460, 5041, 55, 2757.69),
(7310, 727, 90, 1410.01),
(6021, 9688, 31, 3855.07),
(155, 6053, 108, 4456.69),
(8474, 6087, 36, 1105.48),
(6117, 1848, 232, 3191.38),
(1781, 2208, 184, 2678.04),
(5348, 1973, 47, 4257.29),
(9958, 3842, 62, 1498.06),
(1691, 3786, 186, 4706.68),
(7708, 5243, 161, 2395.67),
(6859, 4762, 13, 4859.93),
(4776, 4248, 125, 2917.06),
(8531, 3104, 194, 1762.53),
(3298, 8711, 111, 4861.63),
(5591, 4532, 52, 3298.84),
(1370, 2456, 122, 4983.83),
(6579, 8663, 232, 1368.86),
(7647, 3220, 83, 4140.84),
(214, 9484, 200, 2923.24),
(1905, 4752, 227, 4366.08),
(1552, 432, 25, 3366.70),
(729, 4746, 130, 4029.97),
(9342, 9204, 98, 1605.24),
(2596, 2314, 99, 4978.64),
(7019, 7619, 54, 4286.37),
(3039, 7925, 16, 1682.87),
(6002, 3113, 226, 3155.27),
(4267, 5205, 199, 1852.17),
(1355, 8240, 69, 4224.02),
(735, 6477, 174, 4075.76),
(561, 8076, 151, 4398.30),
(8293, 8136, 201, 4360.21),
(8902, 4556, 189, 1352.41),
(10001, 9896, 178, 4207.75),
(6496, 9353, 105, 4354.55),
(4676, 2699, 73, 4359.87),
(2330, 3592, 172, 3298.75),
(1843, 3222, 105, 2070.22),
(42, 2566, 28, 2873.11),
(3717, 8179, 77, 4370.28),
(8741, 4546, 59, 3474.12),
(1922, 3323, 44, 4947.89),
(1108, 2153, 5, 3183.14),
(316, 1371, 86, 4661.45),
(8663, 2686, 160, 1566.07),
(7227, 1545, 170, 3418.98),
(7356, 4307, 24, 1225.20),
(643, 2657, 213, 1625.85),
(7999, 9276, 220, 4664.44),
(3556, 3788, 173, 2268.23),
(3675, 191, 160, 2577.13),
(3598, 8539, 60, 4933.81),
(9545, 7771, 8, 2609.26),
(7401, 7460, 20, 2920.33),
(309, 7587, 188, 4084.05),
(4875, 6561, 202, 4247.37),
(8618, 8897, 44, 3284.80),
(7290, 3347, 157, 3543.97),
(6358, 5935, 206, 2398.59),
(6250, 4588, 138, 2203.68),
(523, 6082, 148, 2077.65),
(8879, 2556, 55, 1397.77),
(4023, 6329, 211, 3161.28),
(8766, 2556, 48, 1005.75),
(7285, 1377, 67, 3962.79),
(8309, 3972, 154, 2387.68),
(3419, 5504, 210, 4093.77),
(8212, 7901, 101, 2970.53),
(1229, 6366, 91, 3811.39),
(9382, 1773, 120, 3363.44),
(2134, 5467, 17, 3737.46),
(7334, 9775, 225, 4343.11),
(549, 7246, 188, 3838.39),
(2295, 1053, 193, 4478.41),
(7080, 3446, 17, 1381.50),
(8329, 6180, 152, 2746.56),
(7338, 8622, 73, 2508.19),
(7727, 5516, 1, 3465.17),
(1649, 3662, 50, 3013.17),
(6942, 6012, 65, 4669.80),
(1560, 700, 223, 3628.02),
(8578, 4306, 25, 4523.94),
(9642, 6598, 216, 4038.71),
(60, 5928, 120, 2378.92),
(2178, 1788, 140, 4985.44),
(7404, 5694, 88, 4987.37),
(5376, 7739, 154, 2843.68),
(6068, 2834, 189, 4932.19),
(3479, 1811, 44, 2906.39),
(8524, 6055, 211, 1742.97),
(6495, 6017, 215, 4038.49),
(6404, 6219, 79, 2736.06),
(9024, 5890, 115, 1611.73),
(988, 9096, 176, 2689.79),
(6813, 5594, 154, 4518.63),
(7922, 4438, 17, 1477.42),
(2194, 5305, 84, 4702.61),
(9462, 6547, 214, 3666.83),
(5321, 5975, 92, 2946.74),
(1882, 2285, 15, 1890.43),
(2065, 2005, 146, 2822.71),
(1235, 9259, 222, 2935.22),
(5555, 4358, 183, 1938.84),
(1065, 2956, 105, 1178.19),
(1931, 288, 154, 3781.43),
(1115, 1865, 15, 2151.21),
(4895, 7773, 181, 4969.14),
(9801, 1978, 174, 4221.89),
(6266, 3561, 111, 4100.93),
(872, 7195, 12, 4182.93),
(5339, 2492, 116, 3289.81),
(4495, 1347, 22, 4601.77),
(3045, 4547, 120, 2083.81),
(9126, 295, 185, 3459.96),
(2854, 860, 157, 2251.45),
(9453, 9, 89, 2124.67),
(2122, 1338, 223, 3336.79),
(7682, 51, 48, 2172.86),
(3550, 6093, 34, 3458.78),
(4498, 7477, 147, 2599.97),
(2283, 1883, 75, 4992.32),
(9108, 5967, 9, 3257.12),
(6597, 5025, 168, 2680.05),
(1954, 7238, 218, 4181.76),
(3254, 9493, 114, 3306.44),
(8302, 9359, 80, 2339.92),
(9283, 3691, 11, 3710.20),
(1173, 6111, 23, 3576.10),
(8691, 6890, 201, 4134.91),
(9429, 9059, 97, 3031.82),
(286, 935, 204, 4312.10),
(6633, 138, 94, 2288.37),
(460, 4871, 3, 4749.82),
(9732, 1112, 20, 2912.29),
(4474, 4186, 79, 3810.08),
(2207, 1195, 224, 3671.81),
(6586, 765, 143, 1797.31),
(5040, 8675, 49, 1934.10),
(6036, 1094, 170, 4650.04),
(4116, 1275, 42, 3304.62),
(2964, 495, 92, 4583.32),
(6874, 1662, 124, 2106.93),
(3060, 991, 212, 1647.30),
(7665, 4572, 198, 1655.32),
(9605, 2867, 41, 2602.07),
(6469, 1555, 18, 4225.45),
(6809, 4383, 222, 4808.60),
(1631, 9467, 201, 3102.84),
(4963, 2880, 46, 4469.82),
(6694, 2022, 82, 3979.66),
(7059, 193, 182, 1689.16),
(9951, 5835, 192, 2305.12),
(4776, 852, 39, 1755.47),
(9377, 6247, 193, 2754.14),
(6520, 6795, 135, 1520.34),
(7135, 8088, 88, 4864.42),
(6622, 784, 68, 3216.43),
(4563, 1870, 154, 4244.47),
(905, 8392, 72, 4607.26),
(8249, 4360, 167, 2502.37),
(6402, 8104, 133, 4779.70),
(7275, 3834, 11, 2099.79),
(141, 9133, 183, 3099.47),
(9011, 682, 86, 1365.20),
(4038, 1858, 5, 4100.45),
(6324, 4025, 74, 4757.23),
(5828, 5926, 108, 3747.40),
(462, 5792, 168, 3770.36),
(8814, 8409, 123, 3135.33),
(7531, 2579, 151, 3204.84),
(8031, 4210, 91, 3441.22),
(3659, 7244, 32, 1251.26),
(1436, 2968, 126, 1563.84),
(5340, 1212, 102, 1558.60),
(2952, 9955, 205, 1485.94),
(6993, 9686, 230, 1839.92),
(5745, 8468, 50, 1969.61),
(9622, 1331, 22, 2998.81),
(9670, 1738, 56, 1237.40),
(4461, 3148, 36, 4209.79),
(6204, 4217, 86, 2393.54),
(2395, 2390, 23, 3120.57),
(7027, 6563, 28, 4029.16),
(3231, 6639, 71, 1949.68),
(7491, 5370, 22, 4549.17),
(9512, 9257, 222, 2171.29),
(5353, 2109, 79, 3654.77),
(6804, 5961, 100, 1381.33),
(1005, 9707, 113, 4629.92),
(5297, 1660, 62, 3885.61),
(8320, 9434, 109, 2184.56),
(1890, 7440, 218, 4409.81),
(4455, 5839, 69, 4075.76),
(9999, 8772, 210, 2011.02),
(3999, 3036, 14, 2410.86),
(2851, 2006, 84, 3560.30),
(1668, 6394, 210, 4749.41),
(9617, 5999, 65, 4861.80),
(1317, 9870, 169, 3205.86),
(9324, 1488, 184, 4469.25),
(175, 3101, 69, 3811.31),
(8663, 7809, 105, 3499.17),
(444, 7970, 75, 4556.98),
(2144, 9716, 167, 4252.26),
(8783, 9195, 31, 1216.49),
(3274, 8338, 19, 2165.99),
(2081, 1784, 143, 1240.01),
(5700, 8227, 65, 3865.08),
(5331, 1763, 89, 1738.93),
(9976, 5289, 187, 2265.48),
(929, 6400, 110, 4352.42),
(3574, 7270, 56, 1372.06),
(7966, 2014, 15, 1552.20),
(729, 1600, 72, 2158.54),
(3852, 5296, 71, 4509.07),
(3641, 9464, 74, 3647.92),
(7452, 1708, 8, 3846.11),
(1890, 7043, 72, 3086.25),
(3468, 4622, 164, 3466.51),
(3255, 5055, 99, 4462.34),
(7500, 4673, 219, 1458.52),
(9107, 9379, 170, 4316.77),
(7374, 9753, 151, 1733.67),
(6659, 5681, 64, 1505.46),
(2692, 3797, 223, 2216.04),
(6831, 647, 152, 3174.26),
(814, 3944, 15, 4122.79),
(904, 1335, 172, 4257.62),
(3548, 7198, 214, 4441.24),
(4547, 2404, 155, 2170.21),
(2093, 6991, 46, 4135.39),
(8905, 4666, 232, 3660.18),
(1466, 4586, 12, 3962.47),
(4769, 2262, 204, 2722.24),
(1608, 3324, 174, 3943.25),
(5176, 5906, 53, 1861.60),
(6942, 4982, 125, 3789.41),
(1872, 9164, 157, 1210.63),
(8775, 5528, 149, 4542.54),
(3378, 6492, 175, 1149.03),
(9274, 4959, 217, 2785.72),
(1617, 3446, 90, 1675.93),
(5009, 5896, 163, 2449.56),
(4106, 3153, 69, 3076.60),
(313, 8826, 126, 4767.25),
(9017, 1780, 184, 3351.25),
(4744, 2115, 229, 4461.09),
(7558, 650, 194, 4785.85),
(9411, 3490, 219, 3324.79),
(4413, 9219, 117, 1601.99),
(1098, 664, 72, 3306.50),
(9728, 5218, 123, 4130.61),
(4693, 8699, 144, 4889.27),
(6729, 9081, 137, 4795.77),
(6943, 349, 180, 3252.57),
(7663, 6914, 178, 1124.12),
(9933, 3585, 62, 2089.07),
(9762, 504, 32, 2132.39),
(6234, 1848, 216, 4195.32),
(4622, 6864, 76, 2038.20),
(1230, 3623, 227, 4558.99),
(3049, 2829, 62, 1247.99),
(343, 6419, 211, 3324.32),
(5543, 3798, 179, 2849.79),
(4593, 7872, 97, 4490.24),
(2546, 5549, 197, 2434.97),
(9853, 4868, 30, 3648.92),
(1286, 6104, 191, 3133.42),
(7921, 8997, 89, 3282.82),
(7427, 9359, 80, 3532.91),
(4471, 2682, 104, 4003.95),
(2769, 6173, 117, 2608.09),
(7766, 4327, 10, 2226.63),
(8150, 6023, 109, 4610.79),
(6272, 4097, 94, 1271.26),
(5742, 6807, 144, 2797.13),
(4916, 8586, 131, 3630.84),
(7757, 3127, 17, 2200.38),
(4698, 1040, 58, 1187.49),
(4719, 946, 32, 4943.03),
(484, 4899, 146, 1544.02),
(8161, 7405, 190, 2588.70),
(2845, 8990, 195, 1006.44),
(9973, 8873, 28, 4446.96),
(7217, 1362, 112, 2036.68),
(5152, 735, 25, 1456.42),
(3137, 1520, 109, 3759.59),
(7280, 2987, 53, 2733.09),
(5326, 2085, 182, 4692.56),
(538, 1716, 203, 4610.47),
(6482, 6000, 179, 2015.37),
(9180, 6270, 183, 1619.15),
(8588, 9774, 172, 2009.45),
(1109, 5211, 32, 3389.83),
(3834, 6359, 59, 3232.79),
(6365, 9186, 222, 4236.60),
(3829, 3971, 29, 2342.62),
(9693, 2601, 79, 4578.41),
(4939, 9846, 186, 1725.51),
(1921, 1538, 63, 4963.03),
(3635, 3665, 13, 3579.26),
(9314, 5019, 57, 2722.65),
(4441, 4619, 107, 2392.74),
(8608, 4601, 90, 2633.97),
(7929, 4637, 215, 3603.98),
(4613, 7223, 200, 2406.64),
(2628, 4165, 146, 3085.64),
(8902, 1138, 183, 2754.10),
(7101, 8050, 31, 1324.00),
(2703, 103, 126, 2957.03),
(508, 3045, 17, 2840.38),
(1662, 9214, 162, 2238.83),
(6130, 9636, 207, 3565.11),
(2301, 664, 77, 1477.05),
(641, 8647, 64, 2485.19),
(7705, 2342, 150, 4483.14),
(5377, 2455, 17, 2910.14),
(2357, 4152, 57, 2165.35),
(2352, 2416, 180, 1533.94),
(1413, 8992, 168, 4160.97),
(1883, 5180, 209, 4894.75),
(3185, 3109, 94, 2819.52),
(267, 7910, 220, 2593.65),
(4027, 757, 212, 4816.26),
(8743, 7296, 164, 2081.69),
(2911, 7165, 218, 3749.52),
(6183, 8211, 85, 1890.51),
(6934, 7750, 230, 2146.94),
(3395, 6593, 61, 4440.95),
(1914, 2334, 26, 3243.79),
(1018, 2497, 75, 3514.89),
(8881, 9953, 8, 3262.20),
(1580, 7580, 4, 2866.78),
(1967, 6709, 25, 4338.82),
(4349, 3821, 112, 1204.70),
(6879, 3793, 46, 1686.16),
(5574, 1131, 28, 2898.08),
(5319, 211, 145, 1097.25),
(8824, 8916, 161, 1982.27),
(1103, 3780, 30, 1620.13),
(2102, 9878, 103, 2392.66),
(1083, 6156, 48, 1818.58),
(4471, 8312, 64, 4193.31),
(9470, 3308, 110, 1173.10),
(6085, 8406, 227, 1730.41),
(6964, 3918, 94, 2545.17),
(4734, 3807, 224, 1412.90),
(8644, 3042, 188, 3150.11),
(4131, 5944, 121, 1595.62),
(46, 7000, 9, 3485.53),
(3691, 8649, 153, 4408.55),
(9399, 1143, 129, 1299.66),
(6309, 2040, 208, 2217.96),
(1462, 45, 225, 3548.55),
(758, 2677, 192, 4558.42),
(7946, 1021, 164, 1708.62),
(2468, 285, 82, 4276.78),
(2749, 9947, 95, 2537.35),
(7842, 8869, 18, 3911.03),
(1071, 5892, 217, 2643.05),
